険,5
検,5
限,5
現,5
減,5
故,5
個,5
護,5
効,5
厚,5
耕,5
航,5
鉱,5
構,5
興,5
講,5
告,5
混,5
査,5
再,5
災,5
妻,5
採,5
際,5
在,5
財,5
罪,5
殺,5
雑,5
酸,5
賛,5
士,5
支,5
史,5
志,5
枝,5
師,5
資,5
飼,5
示,5
似,5
識,5
質,5
舎,5
謝,5
授,5
修,5
述,5
術,5
準,5
序,5
招,5
証,5
象,5
賞,5
条,5
状,5
常,5
情,5
織,5
職,5
制,5
性,5
政,5
勢,5
精,5
製,5
税,5
責,5
績,5
接,5
設,5
絶,5
祖,5
素,5
総,5
造,5
像,5
増,5
則,5
測,5
属,5
率,5
損,5
貸,5
態,5
団,5
断,5
築,5
貯,5
張,5
停,5
提,5
程,5
適,5
統,5
堂,5
銅,5
導,5
得,5
毒,5
独,5
任,5
燃,5
能,5
破,5
犯,5
判,5
版,5
比,5
肥,5
非,5
費,5
備,5
評,5
貧,5
布,5
婦,5
武,5
復,5
複,5
仏,5
粉,5
編,5
弁,5
保,5
墓,5
報,5
豊,5
防,5
貿,5
暴,5
脈,5
務,5
夢,5
迷,5
綿,5
輸,5
余,5
容,5
略,5
留,5
領,5
歴,5
胃,6
異,6
遺,6
域,6
宇,6
映,6
延,6
沿,6
恩,6
我,6
灰,6
拡,6
革,6
閣,6
割,6
株,6
干,6
巻,6
看,6
簡,6
危,6
机,6
揮,6
貴,6
疑,6
吸,6
供,6
胸,6
郷,6
勤,6
筋,6
系,6
敬,6
警,6
劇,6
激,6
穴,6
券,6
絹,6
権,6
憲,6
源,6
厳,6
己,6
呼,6
誤,6
后,6
孝,6
皇,6
紅,6
降,6
鋼,6
刻,6
穀,6
骨,6
困,6
砂,6
座,6
済,6
裁,6
策,6
冊,6
蚕,6
至,6
私,6
姿,6
視,6
詞,6
誌,6
磁,6
射,6
捨,6
尺,6
若,6
樹,6
収,6
宗,6
就,6
衆,6
従,6
縦,6
縮,6
熟,6
純,6
処,6
署,6
諸,6
除,6
承,6
将,6
傷,6
障,6
蒸,6
針,6
仁,6
垂,6
推,6
寸,6
